Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Trundle Multi-Purpose Service,44 Brookview Street,,TRUNDLE,NSW,2875,Central West,Multi-Purpose Service,9,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.92132544,147.704235," $478,303 "
Bupa Bateau Bay,17 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Residential,101,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.37900507,151.4785501," $5,682,487 "
RFBI Bellingen Masonic Village - JJ,15-23 Watson Street,,BELLINGEN,NSW,2454,Mid North Coast,Residential,24,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-30.45592416,152.8964324," $1,320,114 "
Uniting Narla Belmont North,21 Lentara Road,,BELMONT NORTH,NSW,2280,Hunter,Residential,40,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.02256615,151.6582985," $2,350,434 "
Uniting Wesley Gardens Belrose,2b Morgan Road,,BELROSE,NSW,2085,Northern Sydney,Residential,145,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.7232747,151.2192574," $9,031,828 "
St Elizabeth Home,1 Symonds Road,,DEAN PARK,NSW,2761,Western Sydney,Residential,114,,,St Elizabeth Home Limited,Religious,Major Cities of Australia,-33.73890812,150.8617045," $7,958,374 "
Southern Cross Care Currawarna Residential Aged Care,1 Joseph Street,,BOMBALA,NSW,2632,Southern Highlands,Residential,33,,,Southern Cross Care (NSW & ACT) Limited,Religious,Outer Regional Australia,-36.91877318,149.2397608," $1,685,868 "
Harold Williams Home,267 Eyre Street,,BROKEN HILL,NSW,2880,Orana Far West,Residential,40,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.9743008,141.4626468," $2,632,632 "
Aruma Lodge,Beryl Street,,BROKEN HILL,NSW,2880,Orana Far West,Residential,58,,,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,-31.943575,141.485104," $3,421,055 "
Byron Aged Care,1 Butler Street,,BYRON BAY,NSW,2481,Far North Coast,Residential,41,,,Byron Aged Care Limited,Charitable,Inner Regional Australia,-28.64178738,153.6107986," $2,620,684 "
Paling Court Residential Aged Care,90 Werombi Road,,GRASMERE,NSW,2570,South West Sydney,Residential,140,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,-34.05665981,150.6746141," $6,003,301 "
IRT Lakeview Lodge,4 Ruth Place,,DALMENY,NSW,2546,Southern Highlands,Residential,36,,,Illawarra Retirement Trust,Community Based,Outer Regional Australia,-36.16733209,150.1085019," $1,614,980 "
Moyne Aged Care Plus Centre (0033),161 Nangar Road,,CANOWINDRA,NSW,2804,Central West,Residential,34,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.56393702,148.6450084," $2,270,369 "
IBIS Care Miranda,2c Karimbla Road,,MIRANDA,NSW,2228,South East Sydney,Residential,76,,,IBIS (No 2) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-34.03918489,151.1141905," $5,568,134 "
The Laurels,45 English Street,,KOGARAH,NSW,2217,South East Sydney,Residential,27,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.9702292,151.1292062," $1,432,781 "
Southern Cross Care St Michael's Residential Aged Care,62 Centre Street,,CASINO,NSW,2470,Far North Coast,Residential,73,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-28.87215194,153.0433524," $4,818,881 "
Nuffield Village,284 Castle Hill Road,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,139,,,Anglican Community Services,Religious,Major Cities of Australia,-33.73141836,151.0225907," $8,698,700 "
Warrina Village Hostel,2 Hilliard Drive,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,128,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254," $6,539,695 "
Brian King Gardens,1 Hilliard Drive,,CASTLE HILL,NSW,2154,Northern Sydney,Residential,238,,,Anglican Community Services,Religious,Major Cities of Australia,-33.72850572,151.0234254," $12,360,209 "
William Beech Gardens - Waler,1 Madline Street,,CONDOBOLIN,NSW,2877,Central West,Residential,40,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-33.08173415,147.1522513," $1,334,498 "
Cooinda Hostel,100 Cassilis Street,,COONABARABRAN,NSW,2357,Orana Far West,Residential,37,,,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,-31.27408598,149.286025," $1,758,459 "
Southern Cross Care Cootamundra Residential Aged Care,Scott Avenue,,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,55,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-34.6335112,148.0183038," $3,482,804 "
BaptistCare Mid Richmond Centre - Coraki,Surry Street,,CORAKI,NSW,2471,Far North Coast,Residential,49,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.994059,153.277965," $3,286,583 "
Southern Cross Care Karinya Residential Aged Care,125 Guy Street,,COROWA,NSW,2646,Riverina/Murray,Residential,84,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-35.9886123,146.3841826," $4,613,834 "
Illawarra Diggers,8 Blundell Parade,,CORRIMAL,NSW,2518,Illawarra,Residential,105,,,Illawarra Diggers Aged and Community Care Limited,Community Based,Major Cities of Australia,-34.36680286,150.8939735," $6,888,851 "
Calvary St Paul's Retirement Community,54 River Street,,CUNDLETOWN,NSW,2430,Mid North Coast,Residential,40,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-31.90175824,152.5187223," $2,719,916 "
Southern Cross Care Orana Residential Aged Care,59 Napier Street,,DENILIQUIN,NSW,2710,Riverina/Murray,Residential,50,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-35.52969114,144.9607788," $2,507,171 "
Merton Court Hostel,91 Virginia Street,,DENMAN,NSW,2328,Hunter,Residential,17,,,Merton Living Limited,Community Based,Inner Regional Australia,-32.38966725,150.6845241," $1,277,978 "
Catholic Healthcare St Mary's Villa,46 Darling Street,,DUBBO,NSW,2830,Orana Far West,Residential,49,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-32.23852825,148.608666," $3,014,077 "
Maybanke Aged Care Plus Centre,80 Wardell Road,,DULWICH HILL,NSW,2203,Inner West,Residential,38,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.90848368,151.1437203," $2,338,077 "
Wesley Tebbutt,40 Stewart Street,,DUNDAS,NSW,2115,Western Sydney,Residential,66,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.79848423,151.0606228," $4,675,909 "
BaptistCare Cooinda Court,159 Balaclava Road,,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,68,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.777251,151.11049," $4,501,572 "
Catholic Healthcare Jemalong Residential Village,240 Edward Street,,FORBES,NSW,2871,Central West,Residential,130,,,Catholic Healthcare Limited,Charitable,Outer Regional Australia,-33.35872232,147.9904663," $6,755,630 "
Alexander Campbell House,51 Cook Street,,FORESTVILLE,NSW,2087,Northern Sydney,Residential,35,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-33.76389603,151.2189432," $2,571,975 "
Southern Cross Care St Lawrence Residential Aged Care,6 Swift Street,,HARDEN,NSW,2587,Southern Highlands,Residential,45,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-34.55725448,148.3674601," $2,335,921 "
Uniting Caroona Jarman Goonellabah,65-101 Rous Road,,GOONELLABAH,NSW,2480,Far North Coast,Residential,80,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-28.82564046,153.3203039," $6,329,292 "
Hunters Hill Village,8 D'aram Street,,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,35,,,Twilight House,Community Based,Major Cities of Australia,-33.83368739,151.1523822," $2,124,749 "
Gill Waminda Aged Care Plus Centre,4 Mary Street,,GOULBURN,NSW,2580,Southern Highlands,Residential,103,,,The Salvation Army (NSW) Property Trust,Charitable,Inner Regional Australia,-34.76210651,149.6982514," $6,473,042 "
Catholic Healthcare St Francis Aged Care,226 Arthur Street,,GRAFTON,NSW,2460,Far North Coast,Residential,48,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-29.67275546,152.9371529," $2,476,961 "
Southern Cross Care St Catherine's Residential Aged Care,126 North Street,,GRAFTON,NSW,2460,Far North Coast,Residential,63,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-29.67088759,152.941198," $3,701,152 "
The Pioneers Lodge,15-23 Sidlow Road,,GRIFFITH,NSW,2680,Riverina/Murray,Residential,95,,,The Pioneers Lodge Limited,Private Incorporated Body,Outer Regional Australia,-34.29702039,146.0405675," $5,373,259 "
HammondCare - Bond House,11-23 Judd Avenue,,HAMMONDVILLE,NSW,2170,South West Sydney,Residential,124,,,HammondCare,Charitable,Major Cities of Australia,-33.950558,150.959081," $7,333,198 "
The Whiddon Group - Hornsby,Gate 5 2 Lowe Road,,HORNSBY,NSW,2077,Northern Sydney,Residential,59,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.7010696,151.1133028," $2,635,610 "
Catholic Healthcare St Joseph Aged Care,41 Gladesville Road,,HUNTERS HILL,NSW,2110,Northern Sydney,Residential,52,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.83397475,151.1420162," $3,337,550 "
Catholic Healthcare St Bedes Home,2 Russell Lane,,SOUTH HURSTVILLE,NSW,2221,South East Sydney,Residential,44,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.97533351,151.1110823," $2,319,354 "
McLean Care Ltd,67 Killean Street,,INVERELL,NSW,2360,New England,Residential,138,,,McLean Care Ltd,Charitable,Outer Regional Australia,-29.76043511,151.1354318," $10,272,656 "
Vincent Court,88 Leith Street,,WEST KEMPSEY,NSW,2440,Mid North Coast,Residential,99,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-31.06106274,152.8256826," $5,420,442 "
Blue Haven Care,2 Havilah Place,,KIAMA,NSW,2533,Illawarra,Residential,82,,,The Council of the Municipality of Kiama,Local Government,Inner Regional Australia,-34.66691955,150.8467345," $3,122,328 "
Catholic Healthcare Bethlehem House,30 Montgomery Street,,KOGARAH,NSW,2217,South East Sydney,Residential,29,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96392074,151.1345997," $2,368,139 "
The Whiddon Group - Kyogle,1 George Street,,KYOGLE,NSW,2474,Far North Coast,Residential,40,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-28.62575475,153.001548," $2,351,055 "
St Basil's Lakemba,300 Haldon Street,,LAKEMBA,NSW,2195,Inner West,Residential,195,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.92661622,151.0808402," $9,592,090 "
Uniting Kamilaroi Lane Cove,155 Longueville Road,,LANE COVE,NSW,2066,Northern Sydney,Residential,74,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.8170108,151.1697732," $4,306,326 "
Uniting Annesley Haberfield,1 Haberfield Road,,HABERFIELD,NSW,2045,Inner West,Residential,86,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88647264,151.141152," $6,872,210 "
Uniting The Marion Leichhardt,237 Marion Street,,LEICHHARDT,NSW,2040,Inner West,Residential,130,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.88361937,151.1461364," $8,303,516 "
Autumn Lodge Hostel,Short Street,,MACKSVILLE,NSW,2447,Mid North Coast,Residential,112,,,Nambucca Valley Care Ltd,Community Based,Outer Regional Australia,-30.712655,152.9203," $3,160,793 "
The Whiddon Group - Maclean,27 Union Street,,MACLEAN,NSW,2463,Far North Coast,Residential,61,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-29.45435382,153.2034302," $3,701,602 "
Benhome,30 Regent Street,,MAITLAND,NSW,2320,Hunter,Residential,124,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-32.73008509,151.5454898," $6,191,356 "
Uniting Wesley Heights Manly,47 Birkley Road,,MANLY,NSW,2095,Northern Sydney,Residential,61,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.79413224,151.2804027," $3,370,094 "
Brother Alberts Home,116-132 Quakers Road,,MARAYONG,NSW,2148,Western Sydney,Residential,146,,,Holy Family Services,Charitable,Major Cities of Australia,-33.74258834,150.8864461," $10,256,731 "
Catholic Healthcare St James Villa,60 Lawson Street,,MATRAVILLE,NSW,2036,South East Sydney,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96297422,151.2443664," $2,986,678 "
Uniting Irwin Hall Mayfield,13-15 Section Street,,MAYFIELD,NSW,2304,Hunter,Residential,38,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-32.89599146,151.7404975," $2,226,222 "
Albert Moore Gardens,10 Short Street,,MERIMBULA,NSW,2548,Southern Highlands,Residential,68,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-36.8920774,149.9084763," $1,684,539 "
Southern Cross Care John Woodward Residential Aged Care,Cardinal Gilroy Village,Barcom Street,MERRYLANDS,NSW,2160,Western Sydney,Residential,135,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.83939942,150.973714," $8,011,465 "
Juliana Village,58 Miranda Road,,MIRANDA,NSW,2228,South East Sydney,Residential,73,,,Juliana Village Association Ltd,Community Based,Major Cities of Australia,-34.03672974,151.1080264," $3,109,273 "
Catholic Healthcare George Mockler Hostel,99 Elimatta Road,,MONA VALE,NSW,2103,Northern Sydney,Residential,28,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.67998269,151.2969139," $1,997,850 "
Fairview Hostel,Victoria Terrace,,MOREE,NSW,2400,New England,Residential,39,,,Fairview Care Limited,Community Based,Outer Regional Australia,-29.469656,149.839234," $2,078,050 "
Calvary Muswellbrook Retirement Community,15 Cassidy Avenue,,MUSWELLBROOK,NSW,2333,Hunter,Residential,65,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-32.2809181,150.8919997," $4,268,510 "
Wesley Taylor,156 Ocean Street,,NARRABEEN,NSW,2101,Northern Sydney,Residential,74,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-33.70935503,151.3012024," $4,391,043 "
Uniting Osborne House Nowra,54-60 Osborne Street,,NOWRA,NSW,2541,Illawarra,Residential,107,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-34.8750613,150.5992709," $6,952,664 "
Ascott Gardens,68 Nile Street,,ORANGE,NSW,2800,Central West,Residential,78,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-33.28034225,149.1132343," $5,325,343 "
Uniting Wontama Orange,30-38 Byng Street,,ORANGE,NSW,2800,Central West,Residential,148,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-33.28082307,149.0902776," $11,086,301 "
Rosedurnate Aged Care Plus Centre (0130),46 Orange Street,,PARKES,NSW,2870,Central West,Residential,41,,,The Salvation Army (NSW) Property Trust,Charitable,Outer Regional Australia,-33.13824782,148.1844314," $2,391,735 "
Melrose Cottage Settlement,157 Bungaree Road,,PENDLE HILL,NSW,2145,Western Sydney,Residential,80,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-33.79989746,150.9596218," $5,681,795 "
Cherrybrook Christian Care Centre,3-5 Kitchener Road,,CHERRYBROOK,NSW,2126,Northern Sydney,Residential,120,,,Christian Brethren Community Services,Charitable,Major Cities of Australia,-33.73098023,151.0559609," $5,888,998 "
Uniting Locke Haven Petersham,60 New Canterbury Road,,PETERSHAM,NSW,2049,Inner West,Residential,48,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.89645088,151.1548518," $3,247,050 "
Alcheringa Hostel,23 Sunnyside Avenue,,POINT CLARE,NSW,2250,Central Coast,Residential,22,,,Hamersley Nursing Home (WA) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.4393194,151.3151349," $1,177,747 "
BaptistCare George Forbes House,16 Erin Street,,QUEANBEYAN,NSW,2620,Southern Highlands,Residential,85,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-35.34599447,149.2330649," $5,532,994 "
Catholic Healthcare Holy Spirit Aged Care,13 Neptune Street,,REVESBY,NSW,2212,South West Sydney,Residential,50,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.96399322,151.0202047," $3,023,314 "
Yallambee Village,34 Hydrae Street,,REVESBY,NSW,2212,South West Sydney,Residential,143,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.95876843,151.0197437," $8,165,772 "
Uniting Bruce Sharpe Rockdale,110 Frederick Street,,ROCKDALE,NSW,2216,South East Sydney,Residential,52,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.95145788,151.1326399," $3,410,907 "
Our Lady Of Consolation Home,32 Evans Road,,ROOTY HILL,NSW,2766,Western Sydney,Residential,172,,,Our Lady of Consolation Aged Care & Services Limited,Religious,Major Cities of Australia,-33.78276902,150.846673," $8,612,745 "
Archbold House Aged Care Facility,16 Trafalgar Avenue,,ROSEVILLE,NSW,2069,Northern Sydney,Residential,61,,,KOPWA Limited,Community Based,Major Cities of Australia,-33.78071759,151.1766942," $3,729,294 "
Uniting Thomas Bowden Ryde,279 Morrison Road,,RYDE,NSW,2112,Northern Sydney,Residential,47,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.81927343,151.1040452," $2,982,976 "
Uniting Alroy House Singleton,128 Blaxland Avenue,,SINGLETON HEIGHTS,NSW,2330,Hunter,Residential,49,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,-32.54797262,151.1675456," $3,616,369 "
Calvary Cooinda Retirement Community,42 Bathurst Street,,SINGLETON,NSW,2330,Hunter,Residential,34,,,Calvary Retirement Communities Limited,Religious,Inner Regional Australia,-32.57020846,151.1691229," $2,061,758 "
Uniting Springwood,2 Lewin Street,,SPRINGWOOD,NSW,2777,Nepean,Residential,136,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.69642844,150.5538576," $9,486,312 "
Frank And Jess Kennett Home,1 A Railway Crescent,,STANWELL PARK,NSW,2508,Illawarra,Residential,44,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-34.226181,150.982722," $2,721,625 "
Thomas Holt Kirrawee,"1-25 Acacia Road, North",,KIRRAWEE,NSW,2232,South East Sydney,Residential,218,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.02141758,151.0678777," $8,209,539 "
James Milson Village,4 Clark Road,,NORTH SYDNEY,NSW,2060,Northern Sydney,Residential,138,,,North Sydney Retirement Trust,Community Based,Major Cities of Australia,-33.84037215,151.2146296," $7,655,951 "
Catholic Healthcare Vincentian Aged Care Service,48 Yurong Street,,DARLINGHURST,NSW,2010,South East Sydney,Residential,30,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.87557328,151.214163," $2,362,572 "
Wesley Vickery,101 Port Hacking Road,,SYLVANIA,NSW,2224,South East Sydney,Residential,69,,,Wesley Community Services Limited,Charitable,Major Cities of Australia,-34.0197251,151.1054378," $4,255,663 "
Nazareth House Tamworth,80-104 Manilla Road,,OXLEY VALE,NSW,2340,New England,Residential,90,,,Nazareth Care,Religious,Inner Regional Australia,-31.06339605,150.9035397," $5,813,674 "
RFBI Tamworth Masonic Village,16 Kitchener Street,,TAMWORTH,NSW,2340,New England,Residential,62,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-31.098067,150.941568," $3,971,201 "
Phillip R H Chalker Sunset Lodge,49-53 Bunnaby Street,,TARALGA,NSW,2580,Southern Highlands,Residential,23,,,Crookwell/Taralga Aged Care Ltd,Community Based,Inner Regional Australia,-34.40582572,149.8211439," $1,202,251 "
Alkira Lodge,2 A Bushland Drive,,TAREE,NSW,2430,Mid North Coast,Residential,88,,,Bushland Health Group Limited,Community Based,Inner Regional Australia,-31.89595428,152.4841091," $4,963,649 "
The Whiddon Group Temora - Greenstone,37 Gloucester Street,,TEMORA,NSW,2666,Riverina/Murray,Residential,36,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-34.44336781,147.5423596," $2,225,077 "
Agris Hutrof House,25 Estonian Road,,THIRLMERE,NSW,2572,South West Sydney,Residential,65,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-34.2020681,150.5529741," $3,846,330 "
McCauley Lodge,10-12 Tasman Parade,,THIRROUL,NSW,2515,Illawarra,Residential,35,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,-34.320638,150.923813," $2,299,213 "
Constitution Hill Aged Care,3 Centenary Avenue,,NORTHMEAD,NSW,2152,Western Sydney,Residential,121,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.78881106,150.9787296," $7,362,057 "
Catholic Healthcare Blakeney Lodge,27-29 Carey Street,,TUMUT,NSW,2720,Riverina/Murray,Residential,30,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-35.29806267,148.2190017," $2,040,440 "
Southern Cross Care North Turramurra Residential Aged Care,402 Bobbin Head Road,,NORTH TURRAMURRA,NSW,2074,Northern Sydney,Residential,77,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.70083735,151.1469716," $4,070,383 "
Elizabeth Lodge Hostel,79 Mt Pleasant Avenue,,NORMANHURST,NSW,2076,Northern Sydney,Residential,94,,,Seventh-day Adventist Aged Care (Greater Sydney) Ltd,Private Incorporated Body,Major Cities of Australia,-33.72705723,151.0990233," $5,093,474 "
