,service_name,postcode,suburb,state,geoj_lat,geoj_lon,home_care_places
85,Catholic Healthcare St James Villa,2036,MATRAVILLE,NSW,-33.96297422,151.2443664,1
86,Uniting Irwin Hall Mayfield,2304,MAYFIELD,NSW,-32.89599146,151.7404975,1
87,Albert Moore Gardens,2548,MERIMBULA,NSW,-36.8920774,149.9084763,1
88,Southern Cross Care John Woodward Residential Aged Care,2160,MERRYLANDS,NSW,-33.83939942,150.973714,1
89,Juliana Village,2228,MIRANDA,NSW,-34.03672974,151.1080264,1
90,Catholic Healthcare George Mockler Hostel,2103,MONA VALE,NSW,-33.67998269,151.2969139,1
91,Fairview Hostel,2400,MOREE,NSW,-29.469656,149.839234,1
92,Calvary Muswellbrook Retirement Community,2333,MUSWELLBROOK,NSW,-32.2809181,150.8919997,1
93,Wesley Taylor,2101,NARRABEEN,NSW,-33.70935503,151.3012024,1
94,Uniting Osborne House Nowra,2541,NOWRA,NSW,-34.8750613,150.5992709,1
95,Ascott Gardens,2800,ORANGE,NSW,-33.28034225,149.1132343,1
96,Uniting Wontama Orange,2800,ORANGE,NSW,-33.28082307,149.0902776,1
97,Rosedurnate Aged Care Plus Centre (0130),2870,PARKES,NSW,-33.13824782,148.1844314,1
98,Melrose Cottage Settlement,2145,PENDLE HILL,NSW,-33.79989746,150.9596218,1
99,Cherrybrook Christian Care Centre,2126,CHERRYBROOK,NSW,-33.73098023,151.0559609,1
100,Uniting Locke Haven Petersham,2049,PETERSHAM,NSW,-33.89645088,151.1548518,1
101,Alcheringa Hostel,2250,POINT CLARE,NSW,-33.4393194,151.3151349,1
102,BaptistCare George Forbes House,2620,QUEANBEYAN,NSW,-35.34599447,149.2330649,1
103,Catholic Healthcare Holy Spirit Aged Care,2212,REVESBY,NSW,-33.96399322,151.0202047,1
104,Yallambee Village,2212,REVESBY,NSW,-33.95876843,151.0197437,1
105,Uniting Bruce Sharpe Rockdale,2216,ROCKDALE,NSW,-33.95145788,151.1326399,1
106,Our Lady Of Consolation Home,2766,ROOTY HILL,NSW,-33.78276902,150.846673,1
107,Archbold House Aged Care Facility,2069,ROSEVILLE,NSW,-33.78071759,151.1766942,1
108,Uniting Thomas Bowden Ryde,2112,RYDE,NSW,-33.81927343,151.1040452,1
109,Uniting Alroy House Singleton,2330,SINGLETON HEIGHTS,NSW,-32.54797262,151.1675456,1
110,Calvary Cooinda Retirement Community,2330,SINGLETON,NSW,-32.57020846,151.1691229,1
111,Uniting Springwood,2777,SPRINGWOOD,NSW,-33.69642844,150.5538576,1
112,Frank And Jess Kennett Home,2508,STANWELL PARK,NSW,-34.226181,150.982722,1
113,Thomas Holt Kirrawee,2232,KIRRAWEE,NSW,-34.02141758,151.0678777,1
114,James Milson Village,2060,NORTH SYDNEY,NSW,-33.84037215,151.2146296,1
115,Catholic Healthcare Vincentian Aged Care Service,2010,DARLINGHURST,NSW,-33.87557328,151.214163,1
116,Wesley Vickery,2224,SYLVANIA,NSW,-34.0197251,151.1054378,1
117,Nazareth House Tamworth,2340,OXLEY VALE,NSW,-31.06339605,150.9035397,1
118,RFBI Tamworth Masonic Village,2340,TAMWORTH,NSW,-31.098067,150.941568,1
119,Phillip R H Chalker Sunset Lodge,2580,TARALGA,NSW,-34.40582572,149.8211439,1
120,Alkira Lodge,2430,TAREE,NSW,-31.89595428,152.4841091,1
121,The Whiddon Group Temora - Greenstone,2666,TEMORA,NSW,-34.44336781,147.5423596,1
122,Agris Hutrof House,2572,THIRLMERE,NSW,-34.2020681,150.5529741,1
123,McCauley Lodge,2515,THIRROUL,NSW,-34.320638,150.923813,1
124,Constitution Hill Aged Care,2152,NORTHMEAD,NSW,-33.78881106,150.9787296,1
125,Catholic Healthcare Blakeney Lodge,2720,TUMUT,NSW,-35.29806267,148.2190017,1
126,Southern Cross Care North Turramurra Residential Aged Care,2074,NORTH TURRAMURRA,NSW,-33.70083735,151.1469716,1
127,Elizabeth Lodge Hostel,2076,NORMANHURST,NSW,-33.72705723,151.0990233,1
128,Catholic Healthcare McQuoin Park,2076,WAHROONGA,NSW,-33.7136326,151.1071563,1
129,Warrigal Care Mt Warrigal,2528,MOUNT WARRIGAL,NSW,-34.54768467,150.8440831,1
130,Uniting Edina Waverley,2024,WAVERLEY,NSW,-33.89689662,151.2519608,1
131,The Whiddon Group - Wingham - Primrose,2429,WINGHAM,NSW,-31.86920075,152.3707146,1
132,Woodberry Village,2153,WINSTON HILLS,NSW,-33.77693706,150.9759948,1
133,IRT Diment Towers,2500,WOLLONGONG,NSW,-34.42734794,150.8800214,1
134,Bethshan Gardens,2259,WYEE,NSW,-33.17004419,151.4723694,1
135,Adelene Court Hostel,2250,WYOMING,NSW,-33.41152635,151.3648161,1
136,Thomas Eccles Gardens,2582,YASS,NSW,-34.83111871,148.9122744,1
137,Southern Cross Care Young Residential Aged Care,2594,YOUNG,NSW,-34.322695,148.29131,1
138,Uniting Wirreanda West Pennant Hills,2125,WEST PENNANT HILLS,NSW,-33.73698527,151.0225545,1
139,Christophorus House Hostel,2077,HORNSBY,NSW,-33.6966924,151.0987175,1
140,Catholic Healthcare St Mary's Retirement Village,2506,BERKELEY,NSW,-34.48289788,150.8431883,1
141,Catholic Healthcare St John's Villa,2305,NEW LAMBTON,NSW,-32.93508674,151.7152755,1
142,Woodlands Lodge,2287,WALLSEND,NSW,-32.91254277,151.659999,1
143,RFBI Lakemba Masonic Village,2195,LAKEMBA,NSW,-33.92391248,151.0762091,1
144,Teloca House Hostel,2700,NARRANDERA,NSW,-34.74811985,146.5494843,1
145,Catholic Healthcare Coolamon Villa,2482,MULLUMBIMBY,NSW,-28.55901471,153.4909277,1
146,Ern Vine Village,2200,BANKSTOWN,NSW,-33.91222,151.020598,1
147,Glaica House,2428,TUNCURRY,NSW,-32.16756731,152.4967062,1
148,Lemongrove Gardens Hostel,2750,PENRITH,NSW,-33.75261083,150.7103632,1
149,Haydays Retirement Hostel,2711,HAY,NSW,-34.50173,144.85255,1
150,Bilyara Hostel,2794,COWRA,NSW,-33.823685,148.69388,1
151,Bracken House Dubbo,2830,DUBBO,NSW,-32.26121987,148.6003671,1
152,Cooee Lodge,2827,GILGANDRA,NSW,-31.703966,148.663309,1
153,St Agnes Hostel,2444,PORT MACQUARIE,NSW,-31.456553,152.898377,1
154,The Whiddon Group - Narrabri - Robert Young,2390,NARRABRI,NSW,-30.32497977,149.7779045,1
155,The Whiddon Group - Belmont,2280,BELMONT,NSW,-33.03618876,151.6660629,1
156,Uralba Retirement Village,2791,CARCOAR,NSW,-33.61648451,149.1426066,1
157,Borella House,2640,ALBURY,NSW,-36.076423,146.931133,1
158,Uniting Hawkesbury Richmond,2753,RICHMOND,NSW,-33.595922,150.744046,1
159,Maranatha House,2820,WELLINGTON,NSW,-32.54889026,148.9524448,1
160,Bolton Clarke Winders Lodge,2486,BANORA POINT,NSW,-28.213079,153.540814,1
161,Chester Hill Village,2162,CHESTER HILL,NSW,-33.88944352,150.9981591,1
162,St Dominic's Home for the Elderly,2148,BLACKTOWN,NSW,-33.7873406,150.8931876,1
163,BlueWave Living The Shores,2256,WOY WOY,NSW,-33.49729589,151.3221768,1
164,Anglican Care Storm Village,2430,TAREE,NSW,-31.8979741,152.4723242,1
165,Uniting Banks Lodge Peakhurst,2210,PEAKHURST,NSW,-33.9562902,151.0683671,1
166,Aurrum Norah Head,2263,NORAH HEAD,NSW,-33.28401478,151.5684997,1
167,Anglican Care Greenmount Gardens,2290,MOUNT HUTTON,NSW,-32.98570693,151.6699144,1
168,Anglican Care McIntosh Court,2284,BOORAGUL,NSW,-32.979376,151.604502,1
169,Stella Maris Aged Care Facility,2230,CRONULLA,NSW,-34.06163515,151.1555167,1
170,The Whiddon Group - Glenfield - Arthur Webb,2167,GLENFIELD,NSW,-33.97702387,150.9002088,1
171,The Whiddon Group - Glenfield - Easton Park,2167,GLENFIELD,NSW,-33.97702387,150.9002088,1
172,Murray Vale Shalem Hostel,2641,LAVINGTON,NSW,-36.04998927,146.937888,1
173,Roy Wotton Gardens,2551,EDEN,NSW,-37.06281971,149.8970998,1
174,Oolong Hostel,2643,HOWLONG,NSW,-35.98010238,146.6244832,1
175,Catholic Healthcare Percy Miles Villa,2232,KIRRAWEE,NSW,-34.04009239,151.0737298,1
176,BaptistCare Warena Centre,2234,BANGOR,NSW,-34.01697625,151.027584,1
177,BaptistCare Kularoo Centre,2428,FORSTER,NSW,-32.19779899,152.5254877,1
178,Uniting Thomas Roseby Lodge Marrickville,2204,MARRICKVILLE,NSW,-33.91557607,151.1503291,1
179,RFBI Coffs Harbour Masonic Village,2450,COFFS HARBOUR,NSW,-30.27731496,153.1031486,1
180,Dougherty Villa,2460,GRAFTON,NSW,-29.67327554,152.9392609,1
181,Burrowa House,2586,BOOROWA,NSW,-34.442832,148.727783,1
182,Catholic Healthcare St Joseph's Aged Care,2450,COFFS HARBOUR,NSW,-30.298755,153.106392,1
183,Catholic Healthcare The Sister Anne Court Aged Care,2010,DARLINGHURST,NSW,-33.883771,151.215982,1
184,Woollahra Montefiore Home,2025,WOOLLAHRA,NSW,-33.888844,151.2432781,1
185,Catholic Healthcare Emmaus Village,2178,KEMPS CREEK,NSW,-33.82920307,150.7910313,1
186,Southern Cross Care Parkes Residential Aged Care,2870,PARKES,NSW,-33.13707579,148.1632263,1
187,RFBI Bathurst Masonic Village,2795,BATHURST,NSW,-33.41685123,149.5728476,1
188,The Whiddon Group - Kelso,2795,KELSO,NSW,-33.40709507,149.610307,1
189,Touriandi Limited,2404,BINGARA,NSW,-29.87289975,150.5826672,1
190,Frazer Court Hostel,2869,PEAK HILL,NSW,-32.72266707,148.1938533,1
191,Naroo Frail Aged Hostel,2402,WARIALDA,NSW,-29.5387649,150.5803956,1
192,St Vincent's Care Services Edgecliff,2027,EDGECLIFF,NSW,-33.88086145,151.2383493,1
193,Wenonah Lodge,2852,GULGONG,NSW,-32.36519491,149.5417243,1
194,Autumn Lodge Glass Street,2350,ARMIDALE,NSW,-30.50335832,151.660599,1
195,Feros Village Wommin Bay,2487,KINGSCLIFF,NSW,-28.235722,153.565379,1
196,Woodhaven,2656,LOCKHART,NSW,-35.22233434,146.7190682,1
197,Dougherty Apartments,2067,CHATSWOOD,NSW,-33.7995371,151.1828872,1
198,The Whiddon Group - Laurieton,2443,LAURIETON,NSW,-31.64615854,152.7941744,1
199,Stroud Community Lodge,2425,STROUD,NSW,-32.40125147,151.96509,1
200,Timbrebongie House,2821,NARROMINE,NSW,-32.24308968,148.2401345,1
201,Uralba Hostel,2722,GUNDAGAI,NSW,-35.05236321,148.1021917,1
202,Catholic Healthcare Lewisham Retirement Hostel,2049,LEWISHAM,NSW,-33.89179759,151.1480718,1
203,The Greek Community Home For The Aged,2206,EARLWOOD,NSW,-33.92154312,151.1187337,1
204,Thomas Holt Sans Souci Gardens,2219,SANS SOUCI,NSW,-33.98911116,151.1435169,1
205,BaptistCare Dorothy Henderson Lodge,2113,MACQUARIE PARK,NSW,-33.77827774,151.1109563,1
206,Warrigal Care Albion Park Rail,2527,ALBION PARK RAIL,NSW,-34.5725931,150.7997503,1
207,Calvary St Francis Retirement Community,2282,ELEEBANA,NSW,-32.99844222,151.644475,1
208,The Whiddon Group - Redhead,2290,REDHEAD,NSW,-33.00885342,151.7108687,1
209,RFBI Hawkins Masonic Village - Acacia House,2285,EDGEWORTH,NSW,-32.92558027,151.604632,1
210,The Whiddon Group - Weeronga,2840,WEE WAA,NSW,-30.22303344,149.4487616,1
211,Southern Cross Care Nordby Residential Aged Care,2125,WEST PENNANT HILLS,NSW,-33.74829037,151.0294113,1
212,Prunus Lodge,2866,MOLONG,NSW,-33.09053355,148.8674132,1
213,St Vincent's Care Services Haberfield,2045,HABERFIELD,NSW,-33.876234,151.146734,1
214,Hazelholme Hostel,2868,YEOVAL,NSW,-32.75030022,148.6498586,1
215,Edward River Gardens,2733,MOULAMEIN,NSW,-35.09011163,144.0362003,1
216,RFBI Glen Innes Masonic Village,2370,GLEN INNES,NSW,-29.73650323,151.7281524,1
217,Allawah Lodge,2701,COOLAMON,NSW,-34.81290041,147.1974604,1
218,Millrace Hostel,2372,TENTERFIELD,NSW,-29.042291,152.020134,1
219,Woolgoolga Aged Care Centre,2456,WOOLGOOLGA,NSW,-30.11679869,153.2009455,1
220,Vietnam Veterans Keith Payne VC Hostel,2263,NORAVILLE,NSW,-33.27508297,151.5498577,1
221,Holbrook Hostel,2644,HOLBROOK,NSW,-35.72144445,147.3129783,1
222,Murray House,2648,WENTWORTH,NSW,-34.109119,141.915743,1
223,Myoora Homestead Hostel,2658,HENTY,NSW,-35.51555931,147.0318132,1
224,Cooinda Court Hostel,2663,JUNEE,NSW,-34.86641153,147.5885977,1
225,Mountain View Lodge Hostel,2325,CESSNOCK,NSW,-32.82639348,151.3474204,1
226,Jacaranda Grove Hostel,2325,CESSNOCK,NSW,-32.83209337,151.3499359,1
227,Killarney Court Aged Care Facility,2261,KILLARNEY VALE,NSW,-33.363453,151.453828,1
228,Willoughby Retirement Community Hostel,2067,CHATSWOOD,NSW,-33.78708081,151.1945256,1
229,Ada Cottage,2848,KANDOS,NSW,-32.85842584,149.979617,1
230,Kimbarra Lodge Hostel,2422,GLOUCESTER,NSW,-32.01501032,151.9637295,1
231,Peter Sinclair Gardens,2324,HAWKS NEST,NSW,-32.67496577,152.1744311,1
232,Illawarra Multi-Cultural Village Hostel,2502,WARRAWONG,NSW,-34.48115173,150.8789519,1
233,Lee Hostel,2799,BLAYNEY,NSW,-33.53726554,149.2499052,1
234,Lachlan Lodge,2675,HILLSTON,NSW,-33.4794328,145.5388385,1
235,Uniting Nareen Gardens Lodge Bateau Bay,2261,BATEAU BAY,NSW,-33.37428044,151.4793683,1
236,Murravale Aged Care Facility,2338,MURRURUNDI,NSW,-31.76757683,150.8420031,1
237,Banksia Village,2537,BROULEE,NSW,-35.85004973,150.1707905,1
238,Clelland Lodge,2541,NORTH NOWRA,NSW,-34.85602682,150.583689,1
239,Inasmuch Community Hostel,2540,SUSSEX INLET,NSW,-35.16816904,150.5928909,1
240,Calvary Mt Carmel Retirement Community,2320,MAITLAND,NSW,-32.72244922,151.5430367,1
241,The Whiddon Group - Largs,2320,LARGS,NSW,-32.69377895,151.6006925,1
242,Uniting Parkwood Orange,2800,ORANGE,NSW,-33.27733759,149.0965499,1
243,Remembrance Village,2650,MOUNT AUSTIN,NSW,-35.13658074,147.3473321,1
244,Riverwood Hostel,2640,WEST ALBURY,NSW,-36.07768123,146.8910438,1
245,IRT Moruya,2537,MORUYA,NSW,-35.90437104,150.0683543,1
246,IRT St Georges Basin,2540,ST GEORGES BASIN,NSW,-35.09733574,150.5970807,1
247,Sunhaven Hostel,2361,ASHFORD,NSW,-29.319309,151.090848,1
248,Uniting Bernard Austin Lodge Liverpool,2170,LIVERPOOL,NSW,-33.93653707,150.9124096,1
249,RFBI Moonbi Masonic Village - Jim Holm,2352,KOOTINGAL,NSW,-31.063154,151.039599,1
250,HammondCare - Waldegrave House,2074,NORTH TURRAMURRA,NSW,-33.69536169,151.1465422,1
251,Snowy River Hostel,2628,BERRIDALE,NSW,-36.36425254,148.8237114,1
252,Yallambee Lodge,2630,COOMA,NSW,-36.21997288,149.1305056,1
253,Mackellar Care Services Ltd - Alkira Campus,2380,GUNNEDAH,NSW,-30.98210483,150.2515821,1
254,Abel Tasman Village,2162,CHESTER HILL,NSW,-33.88301488,151.0001665,1
255,Heiden Park Lodge,2163,CARRAMAR,NSW,-33.87952931,150.9640705,1
256,Cedar Place Aged Care Facility,2440,KEMPSEY,NSW,-31.061282,152.8291,1
257,Kolora Aged Care,2365,GUYRA,NSW,-30.213277,151.679991,1
258,McMaugh Gardens Hostel,2358,URALLA,NSW,-30.64020832,151.5043445,1
259,The Whiddon Group - Kookaburra Court,2832,WALGETT,NSW,-30.0183299,148.1175748,1
260,Presbyterian Aged Care - Apsley Riverview,2354,WALCHA,NSW,-30.9817551,151.5947457,1
261,The Whiddon Group - River Gum Lodge,2840,BOURKE,NSW,-30.08766438,145.9413552,1
262,ACDMA Aged Hostel,2166,CANLEY VALE,NSW,-33.88583864,150.94523,1
263,Lilliane Brady Village Hostel,2835,COBAR,NSW,-31.50705334,145.8255073,1
264,Residential Gardens,2766,ROOTY HILL,NSW,-33.75894411,150.8327928,1
265,Rose Mumbler Village,2541,NORTH NOWRA,NSW,-34.85776333,150.5753881,1
266,HammondCare Waratah,2298,WARATAH,NSW,-32.90987019,151.7247025,1
267,Cardinal Stepinac Village,2176,ST JOHNS PARK,NSW,-33.87710272,150.9021543,1
268,Gummun Place,2329,MERRIWA,NSW,-32.13872623,150.3579196,1
269,Alton Lodge,2265,COORANBONG,NSW,-33.07686263,151.4519758,1
270,St Simeon Village,2766,ROOTY HILL,NSW,-33.75107646,150.8333942,1
271,Catholic Healthcare St Francis Aged Care,2800,ORANGE,NSW,-33.27912008,149.0909437,1
272,Berrigan Aged Care Hostel,2712,BERRIGAN,NSW,-35.66302271,145.8126435,1
273,Uniting Illowra Waverley,2024,WAVERLEY,NSW,-33.89762664,151.2597896,1
274,Uniting Alblas Lodge Tamworth,2340,TAMWORTH,NSW,-31.07185098,150.9180858,1
275,HammondCare - The Meadows,2170,HAMMONDVILLE,NSW,-33.950558,150.959081,1
276,Uniting Mullauna Blacktown,2148,BLACKTOWN,NSW,-33.77822281,150.9160875,1
277,Southern Cross Care St Francis Residential Aged Care,2761,PLUMPTON,NSW,-33.74485561,150.8332216,1
278,Fitzgerald Memorial Aged Care Facility Limited,2756,WINDSOR,NSW,-33.60909914,150.8211196,1
279,Charingfield,2024,WAVERLEY,NSW,-33.90130184,151.2552862,1
280,Uniting Boronia Gerringong,2534,GERRINGONG,NSW,-34.74737134,150.8225316,1
281,Cypress View Lodge,2707,COLEAMBALLY,NSW,-34.8086867,145.8803872,1
282,IRT Peakhurst,2210,PEAKHURST,NSW,-33.96232087,151.0596463,1
283,RFBI Kurri Kurri Masonic Village,2327,KURRI KURRI,NSW,-32.82504973,151.4650818,1
284,Portland Tabulam Health Centre,2847,PORTLAND,NSW,-33.35798811,149.9788021,1
285,Allambie Heights Village Residential Aged Care Facility,2100,ALLAMBIE HEIGHTS,NSW,-33.761785,151.2446317,1
286,Uniting Caroona Yamba,2464,YAMBA,NSW,-29.43764173,153.3462784,1
287,Southern Cross Care Daceyville Residential Aged Care,2032,DACEYVILLE,NSW,-33.93036453,151.2250307,1
288,St Vincent's Care Services Yennora,2161,YENNORA,NSW,-33.86775783,150.9673057,1
289,Southern Cross Care Assumption Villa Residential Aged Care,2705,LEETON,NSW,-34.54117963,146.4081964,1
290,Mary Mackillop Hostel Carrington Retirement Village,2570,GRASMERE,NSW,-34.05665981,150.6746141,1
291,Mary Andrews Retirement Village Hostel,2221,SOUTH HURSTVILLE,NSW,-33.98067076,151.1069096,1
292,RFBI Berry Masonic Village,2535,BERRY,NSW,-34.77720428,150.6937769,1
293,Yallambee Lodge,2250,GOSFORD WEST,NSW,-33.430088,151.32119,1
294,Presbyterian Aged Care - Gosford,2250,EAST GOSFORD,NSW,-33.43937938,151.3553768,1
295,IRT William Beach Gardens,2530,KANAHOOKA,NSW,-34.48837693,150.8123026,1
296,Waratah Respite Centre (Mid North Coast) Incorporated,2450,COFFS HARBOUR,NSW,-30.30228329,153.1153154,1
297,Bolton Clarke Macquarie Shores,2283,BOLTON POINT,NSW,-33.00232609,151.6150926,1
298,Harbison Burradoo Hostel,2576,BURRADOO,NSW,-34.5054661,150.4070216,1
299,Richmond Lodge,2470,CASINO,NSW,-28.86458554,153.0419705,1
300,Flinders Court,2154,CASTLE HILL,NSW,-33.72794266,151.0196068,1
301,Elizabeth Jenkins Place Aged Care Plus Centre,2097,COLLAROY,NSW,-33.735333,151.301016,1
302,Pacific Lodge Aged Care Plus Centre,2097,COLLAROY,NSW,-33.735333,151.301016,1
303,RFBI Hawkins Masonic Village - Jacaranda House,2285,EDGEWORTH,NSW,-32.92558027,151.604632,1
